date,datetime,open,high,low,close,volume
2026.06.05,2026-06-05,2142000.0,2188000.0,2070000.0,2070000.0,5778751
2026.06.08,2026-06-08,1856000.0,2072000.0,1855000.0,1911000.0,6610833
2026.06.09,2026-06-09,2050000.0,2226000.0,1998000.0,2215000.0,5878039
2026.06.10,2026-06-10,2137000.0,2180000.0,1992000.0,2048000.0,4928269
2026.06.11,2026-06-11,1975000.0,2163000.0,1960000.0,2101000.0,6625775
2026.06.12,2026-06-12,2281000.0,2304000.0,2150000.0,2150000.0,5286416
2026.06.15,2026-06-15,2283000.0,2322000.0,2265000.0,2288000.0,3872910
2026.06.16,2026-06-16,2381000.0,2400000.0,2286000.0,2382000.0,3644469
2026.06.17,2026-06-17,2335000.0,2523000.0,2334000.0,2521000.0,3980010
2026.06.18,2026-06-18,2556000.0,2738000.0,2556000.0,2685000.0,5808765
2026.06.19,2026-06-19,2824000.0,2891000.0,2688000.0,2764000.0,7478195
2026.06.22,2026-06-22,2728000.0,2945000.0,2728000.0,2919000.0,5179795
2026.06.23,2026-06-23,2898000.0,2943000.0,2536000.0,2555000.0,8050335
2026.06.24,2026-06-24,2598000.0,2703000.0,2453000.0,2580000.0,7487916
2026.06.25,2026-06-25,2865000.0,2987000.0,2749000.0,2917000.0,6790853
2026.06.26,2026-06-26,2850000.0,2880000.0,2600000.0,2673000.0,7467492
2026.06.29,2026-06-29,2636000.0,2688000.0,2517000.0,2628000.0,5217788
2026.06.30,2026-06-30,2608000.0,2742000.0,2541000.0,2650000.0,5109213
2026.07.01,2026-07-01,2665000.0,2723000.0,2502000.0,2560000.0,4277276
2026.07.02,2026-07-02,2351000.0,2448000.0,2187000.0,2187000.0,7685914
2026.07.03,2026-07-03,2197000.0,2454000.0,2045000.0,2425000.0,7984914
2026.07.06,2026-07-06,2450000.0,2497000.0,2292000.0,2343000.0,4235360
2026.07.07,2026-07-07,2289000.0,2343000.0,2080000.0,2201000.0,6351195
2026.07.08,2026-07-08,2118000.0,2329000.0,2076000.0,2076000.0,6975631
2026.07.09,2026-07-09,2228000.0,2270000.0,2091000.0,2186000.0,6261504
2026.07.10,2026-07-10,2296000.0,2305000.0,2166000.0,2180000.0,4827239
2026.07.13,2026-07-13,2113000.0,2142000.0,1839000.0,1845000.0,8040043
2026.07.14,2026-07-14,1825000.0,1936000.0,1678000.0,1913000.0,10447011
2026.07.15,2026-07-15,2120000.0,2171000.0,2070000.0,2082000.0,6046951
2026.07.16,2026-07-16,1902000.0,1919000.0,1821000.0,1842000.0,5608812
2026.07.20,2026-07-20,1745000.0,1892000.0,1735000.0,1764000.0,5876444
2026.07.21,2026-07-21,1775000.0,1889000.0,1732000.0,1836000.0,4639208
2026.07.22,2026-07-22,1977000.0,2006000.0,1830000.0,1830000.0,4802637
2026.07.23,2026-07-23,1910000.0,1948000.0,1845000.0,1919000.0,4119477
2026.07.24,2026-07-24,1894000.0,1894000.0,1752000.0,1759000.0,4935624
2026.07.27,2026-07-27,1814000.0,1821000.0,1707000.0,1816000.0,4030933
2026.07.28,2026-07-28,1662000.0,1674000.0,1550000.0,1550000.0,8120587
2026.07.29,2026-07-29,1567000.0,1619000.0,1246000.0,1401000.0,12428883
2026.07.30,2026-07-30,1361000.0,1459000.0,1287000.0,1322000.0,9543189
2026.07.31,2026-07-31,1697000.0,1718000.0,1586000.0,1718000.0,10347350
