datetime,open,high,low,close,volume,session,source
2026-07-11 07:00:00,979.55,979.55,978.75,979.0,911,aftermarket,kis
2026-07-11 07:01:00,979.24,979.54,979.0,979.3499,394,aftermarket,kis
2026-07-11 07:02:00,979.45,979.45,979.0,979.15,566,aftermarket,kis
2026-07-11 07:03:00,979.25,979.6,979.15,979.5,829,aftermarket,kis
2026-07-11 07:04:00,979.5,979.7515,979.078,979.7,1440,aftermarket,kis
2026-07-11 07:05:00,979.7274,979.9186,979.5,979.8,764,aftermarket,kis
2026-07-11 07:06:00,979.8,979.99,979.33,979.575,1267,aftermarket,kis
2026-07-11 07:07:00,979.692,979.7,979.3955,979.5,546,aftermarket,kis
2026-07-11 07:08:00,979.439,979.7,979.0,979.12,491,aftermarket,kis
2026-07-11 07:09:00,979.25,979.25,979.0,979.0,376,aftermarket,kis
2026-07-11 07:10:00,979.12,979.25,979.0,979.02,299,aftermarket,kis
2026-07-11 07:11:00,979.01,979.1,979.0,979.1,175,aftermarket,kis
2026-07-11 07:12:00,979.1,979.1,978.75,978.75,1380,aftermarket,kis
2026-07-11 07:13:00,978.8,978.99,978.6,978.75,1056,aftermarket,kis
2026-07-11 07:14:00,978.75,978.99,978.625,978.84,384,aftermarket,kis
2026-07-11 07:15:00,978.81,979.0,978.61,979.0,225,aftermarket,kis
2026-07-11 07:16:00,978.85,978.93,978.65,978.65,176,aftermarket,kis
2026-07-11 07:17:00,978.83,978.89,978.65,978.75,1213,aftermarket,kis
2026-07-11 07:18:00,978.6466,978.8,978.6466,978.8,571,aftermarket,kis
2026-07-11 07:19:00,978.75,979.0,978.71,979.0,725,aftermarket,kis
2026-07-11 07:20:00,978.97,979.12,978.9325,979.12,622,aftermarket,kis
2026-07-11 07:21:00,979.0,979.12,979.0,979.12,753,aftermarket,kis
2026-07-11 07:22:00,979.0006,979.12,979.0,979.1,258,aftermarket,kis
2026-07-11 07:23:00,979.117,979.2,979.06,979.06,457,aftermarket,kis
2026-07-11 07:24:00,979.06,979.18,979.0,979.0,1036,aftermarket,kis
2026-07-11 07:25:00,979.03,979.068,978.8,978.8,334,aftermarket,kis
2026-07-11 07:26:00,978.82,979.01,978.71,978.71,376,aftermarket,kis
2026-07-11 07:27:00,978.8,978.8,978.5,978.7535,1541,aftermarket,kis
2026-07-11 07:28:00,978.7226,978.79,978.05,978.4,2518,aftermarket,kis
2026-07-11 07:29:00,978.49,978.8,978.0,978.79,399,aftermarket,kis
2026-07-11 07:30:00,978.39,978.5,978.01,978.2216,585,aftermarket,kis
2026-07-11 07:31:00,978.2537,978.2537,978.01,978.05,955,aftermarket,kis
2026-07-11 07:32:00,978.1231,978.26,978.038,978.25,437,aftermarket,kis
2026-07-11 07:33:00,978.1191,978.5,978.0,978.5,1191,aftermarket,kis
2026-07-11 07:34:00,978.5,978.8,978.26,978.77,253,aftermarket,kis
2026-07-11 07:35:00,978.53,978.66,978.05,978.5791,416,aftermarket,kis
2026-07-11 07:36:00,978.65,978.65,978.05,978.26,622,aftermarket,kis
2026-07-11 07:37:00,978.24,978.27,977.07,977.07,1929,aftermarket,kis
2026-07-11 07:38:00,977.6,977.6,977.07,977.43,828,aftermarket,kis
2026-07-11 07:39:00,977.43,977.48,977.01,977.43,2834,aftermarket,kis
2026-07-11 07:40:00,977.3,977.49,976.87,977.25,1587,aftermarket,kis
2026-07-11 07:41:00,977.39,977.4,977.0,977.3299,374,aftermarket,kis
2026-07-11 07:42:00,977.33,977.4,977.09,977.3597,283,aftermarket,kis
2026-07-11 07:43:00,977.4,977.42,977.09,977.3,258,aftermarket,kis
2026-07-11 07:44:00,977.36,977.36,976.8269,976.87,1492,aftermarket,kis
2026-07-11 07:45:00,977.17,977.17,976.25,976.7,1410,aftermarket,kis
2026-07-11 07:46:00,976.56,977.0,976.06,976.8695,1741,aftermarket,kis
2026-07-11 07:47:00,977.0,977.0,976.06,976.4999,949,aftermarket,kis
2026-07-11 07:48:00,976.44,976.49,976.06,976.1323,657,aftermarket,kis
2026-07-11 07:49:00,976.1188,976.4,975.79,976.21,4269,aftermarket,kis
2026-07-11 07:50:00,976.5,977.4,976.35,977.4,1301,aftermarket,kis
2026-07-11 07:51:00,977.4,977.6538,977.0,977.49,1184,aftermarket,kis
2026-07-11 07:52:00,977.0,977.5,976.94,977.28,383,aftermarket,kis
2026-07-11 07:53:00,977.28,977.9999,977.28,977.6172,885,aftermarket,kis
2026-07-11 07:54:00,977.8,977.8,977.0,977.28,642,aftermarket,kis
2026-07-11 07:55:00,977.0,978.0,977.0,977.63,1073,aftermarket,kis
2026-07-11 07:56:00,978.0,978.2,977.65,978.0,773,aftermarket,kis
2026-07-11 07:57:00,978.05,978.05,977.15,978.0,528,aftermarket,kis
