datetime,open,high,low,close,volume
2026-07-30 09:30:00-04:00,6.935,6.9884,6.87,6.9779,475364
2026-07-30 09:31:00-04:00,6.9779,6.9779,6.9037,6.9506,152902
2026-07-30 09:32:00-04:00,6.9582,6.97,6.915,6.9699,89997
2026-07-30 09:33:00-04:00,6.9699,6.98,6.94,6.9736,197328
2026-07-30 09:34:00-04:00,6.9736,6.99,6.95,6.985,144791
2026-07-30 09:35:00-04:00,6.985,7.085,6.985,7.0799,218074
2026-07-30 09:36:00-04:00,7.0799,7.15,7.06,7.141,226827
2026-07-30 09:37:00-04:00,7.141,7.1499,7.025,7.03,245517
2026-07-30 09:38:00-04:00,7.0208,7.05,6.98,7.0,305710
2026-07-30 09:39:00-04:00,7.0,7.05,6.98,7.047,142162
2026-07-30 09:40:00-04:00,7.047,7.047,6.975,6.985,96839
2026-07-30 09:41:00-04:00,6.98,7.0156,6.97,7.0081,146809
2026-07-30 09:42:00-04:00,7.0081,7.06,7.0014,7.05,106384
2026-07-30 09:43:00-04:00,7.05,7.06,7.03,7.0581,102899
2026-07-30 09:44:00-04:00,7.0581,7.09,7.053,7.0883,192551
2026-07-30 09:45:00-04:00,7.0822,7.0895,7.04,7.05,145855
2026-07-30 09:46:00-04:00,7.05,7.0899,7.0419,7.072,131014
2026-07-30 09:47:00-04:00,7.075,7.09,7.0494,7.0494,316218
2026-07-30 09:48:00-04:00,7.0494,7.0768,7.025,7.07,147541
2026-07-30 09:49:00-04:00,7.0701,7.11,7.065,7.1,394018
2026-07-30 09:50:00-04:00,7.1,7.1599,7.0801,7.15,377009
2026-07-30 09:51:00-04:00,7.15,7.16,7.11,7.11,180867
2026-07-30 09:52:00-04:00,7.11,7.1277,7.1,7.1175,91211
2026-07-30 09:53:00-04:00,7.1092,7.14,7.08,7.085,198169
2026-07-30 09:54:00-04:00,7.085,7.11,7.0831,7.1009,86486
2026-07-30 09:55:00-04:00,7.1009,7.13,7.0601,7.1286,151406
2026-07-30 09:56:00-04:00,7.1286,7.14,7.085,7.085,159605
2026-07-30 09:57:00-04:00,7.085,7.087,7.06,7.0714,151369
2026-07-30 09:58:00-04:00,7.075,7.1399,7.06,7.135,150237
2026-07-30 09:59:00-04:00,7.13,7.16,7.1237,7.129,207904
2026-07-30 10:00:00-04:00,7.125,7.135,7.1,7.135,96041
2026-07-30 10:01:00-04:00,7.135,7.145,7.11,7.135,155177
2026-07-30 10:02:00-04:00,7.1314,7.165,7.12,7.135,242574
2026-07-30 10:03:00-04:00,7.1351,7.16,7.11,7.155,112124
2026-07-30 10:04:00-04:00,7.155,7.17,7.15,7.16,158593
2026-07-30 10:05:00-04:00,7.165,7.2,7.135,7.1369,296759
2026-07-30 10:06:00-04:00,7.1301,7.1399,7.11,7.1267,223155
2026-07-30 10:07:00-04:00,7.1293,7.16,7.11,7.11,158710
2026-07-30 10:08:00-04:00,7.11,7.1186,7.08,7.095,168553
2026-07-30 10:09:00-04:00,7.095,7.115,7.07,7.075,203088
2026-07-30 10:10:00-04:00,7.075,7.1,7.065,7.0801,150680
2026-07-30 10:11:00-04:00,7.0804,7.09,7.06,7.0745,137467
2026-07-30 10:12:00-04:00,7.0745,7.08,7.045,7.065,161404
2026-07-30 10:13:00-04:00,7.065,7.0766,7.05,7.075,176596
2026-07-30 10:14:00-04:00,7.075,7.0753,7.05,7.0614,51704
2026-07-30 10:15:00-04:00,7.0614,7.0899,7.0544,7.08,104100
2026-07-30 10:16:00-04:00,7.08,7.08,7.0601,7.065,61615
2026-07-30 10:17:00-04:00,7.0699,7.09,7.06,7.09,69522
2026-07-30 10:18:00-04:00,7.09,7.1061,7.07,7.105,264900
2026-07-30 10:19:00-04:00,7.1,7.11,7.075,7.0854,153185
2026-07-30 10:20:00-04:00,7.0854,7.1,7.0701,7.095,83886
2026-07-30 10:21:00-04:00,7.095,7.118,7.0901,7.118,66352
2026-07-30 10:22:00-04:00,7.118,7.1299,7.1001,7.125,97539
2026-07-30 10:23:00-04:00,7.125,7.15,7.1101,7.1352,162978
2026-07-30 10:24:00-04:00,7.1352,7.15,7.1246,7.125,91032
2026-07-30 10:25:00-04:00,7.125,7.15,7.125,7.1437,93320
2026-07-30 10:26:00-04:00,7.1437,7.15,7.1101,7.12,117666
2026-07-30 10:27:00-04:00,7.1101,7.1595,7.11,7.155,80335
2026-07-30 10:28:00-04:00,7.155,7.2,7.15,7.175,160107
2026-07-30 10:29:00-04:00,7.175,7.2195,7.17,7.218,217207
2026-07-30 10:30:00-04:00,7.2199,7.2199,7.17,7.205,112720
2026-07-30 10:31:00-04:00,7.205,7.21,7.17,7.195,82110
2026-07-30 10:32:00-04:00,7.2,7.2,7.1714,7.18,83237
2026-07-30 10:33:00-04:00,7.18,7.195,7.174,7.19,55035
2026-07-30 10:34:00-04:00,7.1922,7.1986,7.16,7.1798,111505
2026-07-30 10:35:00-04:00,7.178,7.19,7.16,7.165,176339
2026-07-30 10:36:00-04:00,7.165,7.21,7.162,7.2,300331
2026-07-30 10:37:00-04:00,7.2099,7.21,7.18,7.195,112182
2026-07-30 10:38:00-04:00,7.1986,7.1986,7.1601,7.165,210172
2026-07-30 10:39:00-04:00,7.164,7.18,7.1591,7.175,87908
2026-07-30 10:40:00-04:00,7.175,7.175,7.1501,7.155,113958
2026-07-30 10:41:00-04:00,7.155,7.16,7.13,7.1401,161583
