date,datetime,open,high,low,close,volume
2026.05.13,2026-05-13,1781000.0,1990000.0,1781000.0,1976000.0,7126921
2026.05.14,2026-05-14,1976000.0,1994000.0,1937000.0,1970000.0,6040068
2026.05.15,2026-05-15,1950000.0,1995000.0,1789000.0,1819000.0,7485233
2026.05.18,2026-05-18,1780000.0,1897000.0,1731000.0,1840000.0,6481608
2026.05.19,2026-05-19,1791000.0,1823000.0,1740000.0,1745000.0,4575855
2026.05.20,2026-05-20,1743000.0,1778000.0,1690000.0,1745000.0,5535123
2026.05.21,2026-05-21,1801000.0,1954000.0,1796000.0,1940000.0,5096690
2026.05.22,2026-05-22,1942000.0,1952000.0,1912000.0,1941000.0,3135190
2026.05.26,2026-05-26,2008000.0,2087000.0,2006000.0,2052000.0,4903591
2026.05.27,2026-05-27,2279000.0,2358000.0,2200000.0,2243000.0,7545783
2026.05.28,2026-05-28,2189000.0,2305000.0,2151000.0,2289000.0,6229499
2026.05.29,2026-05-29,2352000.0,2379000.0,2290500.0,2333000.0,8518013
2026.06.01,2026-06-01,2299000.0,2398000.0,2296000.0,2363000.0,5602897
2026.06.02,2026-06-02,2376000.0,2407000.0,2259000.0,2360000.0,5837216
2026.06.04,2026-06-04,2284000.0,2327000.0,2262000.0,2298000.0,3941067
2026.06.05,2026-06-05,2142000.0,2188000.0,2070000.0,2070000.0,5778751
2026.06.08,2026-06-08,1856000.0,2072000.0,1855000.0,1911000.0,6610833
2026.06.09,2026-06-09,2050000.0,2226000.0,1998000.0,2215000.0,5878039
2026.06.10,2026-06-10,2137000.0,2180000.0,1992000.0,2048000.0,4928269
2026.06.11,2026-06-11,1975000.0,2163000.0,1960000.0,2101000.0,6625775
2026.06.12,2026-06-12,2281000.0,2304000.0,2150000.0,2150000.0,5286416
2026.06.15,2026-06-15,2283000.0,2322000.0,2265000.0,2288000.0,3872910
2026.06.16,2026-06-16,2381000.0,2400000.0,2286000.0,2382000.0,3644469
2026.06.17,2026-06-17,2335000.0,2523000.0,2334000.0,2521000.0,3980010
2026.06.18,2026-06-18,2556000.0,2738000.0,2556000.0,2685000.0,5808765
2026.06.19,2026-06-19,2824000.0,2891000.0,2688000.0,2764000.0,7478195
2026.06.22,2026-06-22,2728000.0,2945000.0,2728000.0,2919000.0,5179795
2026.06.23,2026-06-23,2898000.0,2943000.0,2536000.0,2555000.0,8050335
2026.06.24,2026-06-24,2598000.0,2703000.0,2453000.0,2580000.0,7487916
2026.06.25,2026-06-25,2865000.0,2987000.0,2749000.0,2917000.0,6790853
2026.06.26,2026-06-26,2850000.0,2880000.0,2600000.0,2673000.0,7467492
2026.06.29,2026-06-29,2636000.0,2688000.0,2517000.0,2628000.0,5217788
2026.06.30,2026-06-30,2608000.0,2742000.0,2541000.0,2650000.0,5109213
2026.07.01,2026-07-01,2665000.0,2723000.0,2502000.0,2560000.0,4277276
2026.07.02,2026-07-02,2351000.0,2448000.0,2187000.0,2187000.0,7685914
2026.07.03,2026-07-03,2197000.0,2454000.0,2045000.0,2425000.0,7984914
2026.07.06,2026-07-06,2450000.0,2497000.0,2292000.0,2343000.0,4235360
2026.07.07,2026-07-07,2289000.0,2343000.0,2080000.0,2201000.0,6351195
2026.07.08,2026-07-08,2118000.0,2329000.0,2076000.0,2076000.0,6975631
2026.07.09,2026-07-09,2228000.0,2270000.0,2091000.0,2186000.0,5613765
