rank,symbol,name,current_price,change_rate,volume,trading_value,market,collected_at,source_url,is_etf,is_etn,is_preferred,is_spac,is_reit,sector,subtheme,excluded_reason,sector_tv_rank
1,005930,삼성전자,306000.0,-3.77,5204924,1613177000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,semiconductor,hbm,negative_change_rate,
2,042660,한화오션,95500.0,-17.74,2469315,237351000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,shipbuilding,,negative_change_rate,
3,004980,성신양회,9330.0,11.47,2107478,20076000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
4,037710,광주신세계,47850.0,-5.25,1799170,93923000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
5,003200,일신방직,11330.0,-11.48,611367,7385000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
6,010140,삼성중공업,22950.0,-3.16,513052,11767000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,shipbuilding,,negative_change_rate,
7,000660,SK하이닉스,2283000.0,-2.56,445665,1025490000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,semiconductor,hbm,negative_change_rate,
8,300720,한일시멘트,15050.0,6.66,423449,6361000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,unknown,,unknown_sector,
9,006800,미래에셋증권,43800.0,-2.12,383266,17016000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,finance,,negative_change_rate,
10,272210,한화시스템,73800.0,-8.78,241495,17921000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
11,082740,한화엔진,48750.0,-7.84,216111,10532000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,defense,,negative_change_rate,
12,034020,두산에너빌리티,83900.0,-1.87,213347,18016000000.0,,20260707 08:50,https://finance.naver.com/sise/nxt_sise_quant.naver,False,False,False,False,False,power_grid,,negative_change_rate,
