sector,sector_tv_rank,sector_total_trading_value,sector_avg_change_rate,sector_stock_count,volume_spike_overlap_count,leader_symbol
semiconductor,,5037703000000.0,1.84,3,0,
shipbuilding,,348621000000.0,5.47,4,1,
power_grid,,297066000000.0,-0.33,6,0,
finance,,253227000000.0,4.06,13,0,
auto,,183305000000.0,3.99,5,0,
holding_company,,175788000000.0,1.16,9,0,
defense,,162972000000.0,4.34,9,1,
ai_data_center,,90368000000.0,0.86,4,0,
battery_ev,,72923000000.0,-0.63,5,0,
cosmetics_consumer,,33113000000.0,0.59,3,0,
bio_healthcare,,28178000000.0,-2.77,2,0,
construction_machinery,,21729000000.0,1.36,5,0,
materials_copper,,16604000000.0,1.25,2,0,
entertainment_game,,10053000000.0,7.56,1,0,
