strategy,scenario,symbol,direction,signal_time,order_time,fill_price,exit_signal_time,exit_time,exit_price,exit_reason,qty,gross_pnl,cost,net_pnl,held_seconds,wrong_direction,size_pct
A: MACD cross,delay_1m_cons,0197X0,DOWN,2026-07-22 10:39:00,2026-07-22 10:40:00,9374.685,2026-07-22 12:30:00,2026-07-22 12:31:00,9825.085000000001,OPPOSITE:MACD_CROSS_UP,1066,480126.40000000154,4996.7071049999995,475129.69289500156,6660.0,False,1.0
A: MACD cross,delay_1m_cons,0193T0,UP,2026-07-22 12:30:00,2026-07-22 12:31:00,16118.054999999998,2026-07-22 15:15:00,2026-07-22 15:16:00,16056.9675,15:15_FORCE_CLOSE,650,-39706.87499999858,5238.367874999999,-44945.24287499858,9900.0,False,1.0
B: Hist 2-turn,delay_1m_cons,0197X0,DOWN,2026-07-22 10:42:00,2026-07-22 10:43:00,9504.75,2026-07-22 12:33:00,2026-07-22 12:34:00,9915.04,OPPOSITE:HIST_2UP_TURN,1052,431625.0800000009,4999.4985,426625.5815000009,6660.0,False,1.0
B: Hist 2-turn,delay_1m_cons,0193T0,UP,2026-07-22 12:33:00,2026-07-22 12:34:00,16028.009999999998,2026-07-22 15:15:00,2026-07-22 15:16:00,16056.9675,15:15_FORCE_CLOSE,650,18822.375000001466,5209.103249999999,13613.271750001466,9720.0,False,1.0
C: WR→MACD,delay_1m_cons,0193T0,UP,2026-07-22 12:30:00,2026-07-22 12:31:00,16118.054999999998,2026-07-22 15:15:00,2026-07-22 15:16:00,16056.9675,15:15_FORCE_CLOSE,620,-37874.24999999865,4996.59705,-42870.84704999864,9900.0,False,1.0
D: MACD∩WR full,delay_1m_cons,0197X0,DOWN,2026-07-22 10:39:00,2026-07-22 10:40:00,9374.685,2026-07-22 10:42:00,2026-07-22 10:43:00,9495.25,MACD_WR_DISAGREE,1066,128522.29000000055,4996.7071049999995,123525.58289500055,180.0,False,1.0
D: MACD∩WR full,delay_1m_cons,0197X0,DOWN,2026-07-22 10:48:00,2026-07-22 10:49:00,9309.6525,2026-07-22 10:51:00,2026-07-22 10:52:00,9305.345000000001,MACD_WR_DISAGREE,1087,-4682.252499998893,5059.79613375,-9742.048633748893,180.0,True,1.0
D: MACD∩WR full,delay_1m_cons,0197X0,DOWN,2026-07-22 10:54:00,2026-07-22 10:55:00,9334.664999999999,2026-07-22 10:57:00,2026-07-22 10:58:00,9335.33,MACD_WR_DISAGREE,1084,720.8600000009465,5059.38843,-4338.5284299990535,180.0,False,1.0
D: MACD∩WR full,delay_1m_cons,0197X0,DOWN,2026-07-22 11:24:00,2026-07-22 11:25:00,9389.6925,2026-07-22 11:27:00,2026-07-22 11:28:00,9375.310000000001,MACD_WR_DISAGREE,1078,-15504.334999997725,5061.0442575,-20565.379257497727,180.0,True,1.0
D: MACD∩WR full,delay_1m_cons,0197X0,DOWN,2026-07-22 12:27:00,2026-07-22 12:28:00,9854.925,2026-07-22 12:30:00,2026-07-22 12:31:00,9825.085000000001,MACD_WR_DISAGREE,1025,-30585.999999998283,5050.6490625,-35636.64906249828,180.0,False,1.0
