symbol,name,current_price,change_rate,volume,trade_value,date,is_etf,is_etn,is_preferred,is_spac,is_reit,excluded_reason
266390,KODEX 경기소비재,16415.0,-0.42,22576,5095000000.0,20260706,True,False,False,False,False,etf_etn_or_type
411420,KODEX 미국나스닥AI테크액티브,28830.0,-0.67,81465,21325000000.0,20260706,True,False,False,False,False,etf_etn_or_type
156080,KODEX MSCI Korea,63435.0,1.3,16630,5218000000.0,20260706,True,False,False,False,False,etf_etn_or_type
520098,미래에셋 레버리지 반도체 ETN,45000.0,-2.42,19425,6363000000.0,20260706,True,True,False,False,False,etf_etn_or_type
481190,SOL 미국테크TOP10,17660.0,-0.48,270809,96154000000.0,20260706,True,False,False,False,False,etf_etn_or_type
496120,ACE 코리아밸류업,40030.0,1.41,17175,7232000000.0,20260706,True,False,False,False,False,etf_etn_or_type
485690,RISE 미국AI밸류체인TOP3Plus,23955.0,0.36,12068,5823000000.0,20260706,True,False,False,False,False,etf_etn_or_type
325010,KODEX 성장주,51995.0,-0.32,20532,11164000000.0,20260706,True,False,False,False,False,etf_etn_or_type
292500,SOL KRX300,59270.0,0.52,10148,5621000000.0,20260706,True,False,False,False,False,etf_etn_or_type
273130,KODEX 종합채권(AA-이상)액티브,110185.0,0.05,28064,16498000000.0,20260706,True,False,False,False,False,etf_etn_or_type
530118,삼성 코스닥 150 TR ETN,11365.0,-1.47,55588,33076000000.0,20260706,True,True,False,False,False,etf_etn_or_type
570082,한투 인버스2X코스닥150선물 ETN,2125.0,7.59,280747,175497000000.0,20260706,True,True,False,False,False,etf_etn_or_type
760024,키움 인버스 2X K방산 TOP5 ETN,6315.0,-6.03,13341,8564000000.0,20260706,True,True,False,False,False,etf_etn_or_type
495750,HANARO 코리아밸류업,38495.0,2.26,11931,7752000000.0,20260706,True,False,False,False,False,etf_etn_or_type
253150,PLUS 200선물레버리지,336630.0,1.33,60990,40871000000.0,20260706,True,False,False,False,False,etf_etn_or_type
139240,TIGER 200 철강소재,10115.0,0.55,20331,13861000000.0,20260706,True,False,False,False,False,etf_etn_or_type
483420,ACE 애플밸류체인액티브,26590.0,-0.37,29318,20130000000.0,20260706,True,False,False,False,False,etf_etn_or_type
305050,ACE 코스피,85015.0,0.82,13257,9260000000.0,20260706,True,False,False,False,False,etf_etn_or_type
495040,PLUS 코리아밸류업,38130.0,1.18,15859,11190000000.0,20260706,True,False,False,False,False,etf_etn_or_type
472160,TIGER 미국테크TOP10 INDXX(H),18015.0,-0.47,131571,93288000000.0,20260706,True,False,False,False,False,etf_etn_or_type
227560,TIGER 200 생활소비재,12600.0,-0.4,10365,7394000000.0,20260706,True,False,False,False,False,etf_etn_or_type
465660,TIGER 일본반도체FACTSET,32430.0,-4.34,57279,41205000000.0,20260706,True,False,False,False,False,etf_etn_or_type
700034,하나 레버리지 K방산TOP10 ETN,18685.0,4.91,16829,12434000000.0,20260706,True,True,False,False,False,etf_etn_or_type
