date,at,flag_at,direction,flag_ord,idx,flag_idx,approved,reason,base_approved,base_reason,tw2_cleared,slot,session,flat,held_symbol,forced,tq_score,tq_ok,teg_ok,entry_chop,chop_score,trend_ok,gap,gap_prev,gap_exp,gap_pct,e20_e50_pct,slope50,slope20,close_e20_pct,vwap_pct,vol_ratio,minute,approved_h50,reason_h50,solo_n,solo_net,solo_peak,solo_mae,solo_reason,solo_hold_min,solo_entry,solo_exit,solo_pp_fired,solo_h50_held,policy_locked,miss,win
20260527,2026-05-27T12:00:00+09:00,2026-05-27T11:54:00+09:00,DOWN_BLUE,2,58,57,False,REJECT_LOW_QUALITY_SCORE,False,REJECT_LOW_QUALITY_SCORE,False,,,True,,,2,False,False,False,2,False,481.3472239408875,78.94075243922998,402.4064715016575,0.020552827666135247,-1.22308214375245,-2030.5384933794849,-2221.432555906009,-0.9010934791250121,-3.211702683435895,0.5144150023930731,12:00,False,REJECT_LOW_QUALITY_SCORE,1,0.639333,2.618971507991661,-0.2636553161917998,TIME_WINDOW_PROFIT_LOCK_STOP,24.0,2026-05-27T12:00:00+09:00,2026-05-27T12:24:00+09:00,False,False,False,True,True
20260527,2026-05-27T13:57:00+09:00,2026-05-27T13:51:00+09:00,UP_RED,3,97,96,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,5,True,False,False,2,False,1613.0254446198705,1001.1150559714879,611.9103886483826,0.06976753653200132,-0.037210115806822375,128.55237363325432,422.0874769962393,0.17343559824681526,1.4127367307628613,0.662931687777417,13:57,False,TW2_3SLOT_REJECT_TEG,1,-1.515037,0.0,-1.735573659198914,TIME_WINDOW_STOP_LOSS,6.0,2026-05-27T13:57:00+09:00,2026-05-27T14:03:00+09:00,False,False,False,True,False
20260527,2026-05-27T14:09:00+09:00,2026-05-27T14:03:00+09:00,DOWN_BLUE,4,101,100,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,4,True,False,False,2,True,17.121964287279297,201.7506862341961,-184.6287219469168,0.0007450811265134594,0.1319181594849719,363.1349826748483,617.4029232179746,0.25523619541211023,-0.7786831679730181,0.7951188248001287,14:09,False,REJECT_MACD_GAP_NOT_EXPANDING,1,0.339795,3.778630499503804,0.0,TIME_WINDOW_PROFIT_LOCK_STOP,18.0,2026-05-27T14:09:00+09:00,2026-05-27T14:27:00+09:00,False,False,False,True,True
20260527,2026-05-27T14:33:00+09:00,2026-05-27T14:27:00+09:00,UP_RED,5,109,108,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,3,True,False,True,3,False,763.5127807334638,697.1826546528155,66.33012608064837,0.033384905147943324,-0.31728582349990686,-557.488914155867,-673.9106961451471,-0.27993666870913714,0.28930639582681794,0.7691535462713538,14:33,False,TW2_3SLOT_REJECT_TEG,1,-2.750148,0.501130631414159,-2.750147851800313,TIME_WINDOW_STOP_LOSS,15.0,2026-05-27T14:33:00+09:00,2026-05-27T14:48:00+09:00,False,False,False,True,False
20260528,2026-05-28T10:30:00+09:00,2026-05-28T10:24:00+09:00,DOWN_BLUE,2,154,153,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,4,True,False,False,2,False,1659.1005584089835,803.752620786755,855.3479376222285,0.07321714732608046,-0.07057332490490287,163.8595084133558,590.9209998394363,0.2477382832513185,-1.362710498739409,0.9757340860260353,10:30,False,TW2_REJECT_VWAP_VETO,1,8.176792,8.176792452830188,-0.4986163522012579,TIME_WINDOW_TP2_FULL,129.0,2026-05-28T10:30:00+09:00,2026-05-28T12:39:00+09:00,False,False,False,True,True
20260528,2026-05-28T11:18:00+09:00,2026-05-28T11:12:00+09:00,DOWN_BLUE,4,170,169,False,TW2_3SLOT_REJECT_TEG,True,,True,3.0,AFTERNOON,True,,,4,True,False,True,3,True,746.7591500191361,43.28106195088117,703.4780880682549,0.03317455131137877,0.12357502541838272,568.5366870160215,1173.4184220763855,0.4952232345501983,-0.519219021563837,0.5014342462751611,11:18,False,TW2_3SLOT_REJECT_TEG,1,-1.298388,0.15784252944823313,-1.2983880967141972,TIME_WINDOW_STOP_LOSS,21.0,2026-05-28T11:18:00+09:00,2026-05-28T11:39:00+09:00,False,False,False,True,False
20260528,2026-05-28T11:36:00+09:00,2026-05-28T11:30:00+09:00,UP_RED,5,176,175,False,TW2_3SLOT_REJECT_SAME_DIRECTION_AFTERNOON_2ND,True,,True,,AFTERNOON,True,,,5,True,False,True,3,False,535.9632832587945,70.00334457089957,465.9599386878949,0.023652395554227473,-0.11301628733238753,88.53194186883047,497.8928049202077,0.20873705413675842,1.1646721142397474,0.45006580848126865,11:36,False,REJECT_LOW_QUALITY_SCORE,1,-1.676023,0.0,-1.6760225669957687,TIME_WINDOW_STOP_LOSS,12.0,2026-05-28T11:36:00+09:00,2026-05-28T11:48:00+09:00,False,False,False,True,False
20260528,2026-05-28T11:48:00+09:00,2026-05-28T11:42:00+09:00,DOWN_BLUE,6,180,179,False,TW2_3SLOT_REJECT_TEG,True,,True,3.0,AFTERNOON,True,,,4,True,False,False,1,True,553.8878693447266,225.4099308295181,328.4779385152085,0.024595376081026937,0.14452982333672382,434.61043847491965,778.2256969576702,0.3282923677219508,-0.5260344919026666,0.5176943951068352,11:48,False,TW2_3SLOT_REJECT_TEG,1,4.097905,4.097905113986445,-1.3216882316697474,TIME_WINDOW_AFTERNOON_TP,47.0,2026-05-28T11:48:00+09:00,2026-05-28T12:35:00+09:00,False,False,False,True,True
20260528,2026-05-28T13:33:00+09:00,2026-05-28T13:27:00+09:00,UP_RED,7,215,214,False,TW2_REJECT_VWAP_VETO,False,REJECT_TIME_WINDOW,False,,,True,,,3,True,False,False,2,False,2425.3680580091277,511.07391201432256,1914.2941459948051,0.1104951279275229,-1.1387300382734855,-772.2940249382518,639.3600767492317,0.27671620633784083,-1.3997732590239809,0.8477122389638898,13:33,False,TW2_REJECT_VWAP_VETO,1,0.726796,2.170467502850627,0.0,TIME_WINDOW_PROFIT_LOCK_STOP,9.0,2026-05-28T13:33:00+09:00,2026-05-28T13:42:00+09:00,False,False,False,True,True
20260529,2026-05-29T12:06:00+09:00,2026-05-29T12:00:00+09:00,UP_RED,2,312,311,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,4,True,False,False,2,False,1276.224543273369,320.5951530168695,955.6293902564994,0.05512848999021032,-0.11712837588174779,114.20271761110052,579.9461561199278,0.23799086320254204,-1.0935483908243968,0.9798782432638572,12:06,False,REJECT_LOW_QUALITY_SCORE,1,-1.433468,0.6825268817204302,-1.433467741935484,TIME_WINDOW_STOP_LOSS,141.0,2026-05-29T12:06:00+09:00,2026-05-29T14:27:00+09:00,False,False,False,True,False
20260529,2026-05-29T14:03:00+09:00,2026-05-29T13:57:00+09:00,DOWN_BLUE,5,351,350,False,TW2_3SLOT_REJECT_SAME_DIRECTION_AFTERNOON_2ND,False,REJECT_TIME_WINDOW,True,,AFTERNOON,True,,,5,True,False,True,3,False,334.4700198849007,273.6561162999476,60.813903584953096,0.014441710703147698,-0.04898771557382698,-24.84155036136508,55.3618430364877,0.02270887343895369,0.8533592244818056,0.9118603124992021,14:03,False,TW2_3SLOT_REJECT_SAME_DIRECTION_AFTERNOON_2ND,1,1.89388,2.0922262652993715,-0.28838901753225277,FORCED_LIQUIDATION,57.0,2026-05-29T14:03:00+09:00,2026-05-29T15:00:00+09:00,False,False,False,True,True
20260601,2026-06-01T11:27:00+09:00,2026-06-01T11:21:00+09:00,DOWN_BLUE,3,425,424,False,REJECT_LOW_QUALITY_SCORE,False,REJECT_LOW_QUALITY_SCORE,False,,,True,,,3,True,False,False,2,False,1301.7016903654967,735.6473205216807,566.054369843816,0.05462449393057057,-0.8719751926930993,-1158.5579316914082,-800.578998375684,-0.31915654572243973,-1.7558362196533097,0.5812612624919036,11:27,False,REJECT_LOW_QUALITY_SCORE,1,0.119609,1.7267389024816497,-0.4743795875567983,TIME_WINDOW_BREAKEVEN_STOP,45.0,2026-06-01T11:27:00+09:00,2026-06-01T12:12:00+09:00,False,False,False,True,True
20260601,2026-06-01T13:21:00+09:00,2026-06-01T13:15:00+09:00,UP_RED,4,463,462,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,3.0,AFTERNOON,True,,,5,True,False,False,2,False,668.6571147532404,180.17638473646002,488.4807300167804,0.028249138772844972,-0.004244968585530709,107.10973070189357,286.80703248502687,0.1151105538069026,0.7983742403631573,0.6368294792110862,13:21,False,TW2_3SLOT_REJECT_TEG,1,-1.429185,1.4750605326876511,-1.8971105730427766,TIME_WINDOW_STOP_LOSS,72.0,2026-06-01T13:21:00+09:00,2026-06-01T14:33:00+09:00,False,False,False,True,False
20260601,2026-06-01T14:15:00+09:00,2026-06-01T14:09:00+09:00,DOWN_BLUE,5,481,480,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,3.0,AFTERNOON,True,,,4,True,False,False,2,False,491.512878366701,33.751237850347025,457.76164051635396,0.020738940015472617,-0.1486568465988635,-18.857144582550973,322.2281286441721,0.1291631739292852,-0.7970670388713406,0.9259125838066165,14:15,False,TW2_3SLOT_REJECT_TEG,1,0.323948,2.220979986197378,-0.6418219461697723,TIME_WINDOW_PROFIT_LOCK_STOP,27.0,2026-06-01T14:15:00+09:00,2026-06-01T14:42:00+09:00,False,False,False,True,True
20260602,2026-06-02T09:12:00+09:00,2026-06-02T09:06:00+09:00,DOWN_BLUE,1,506,505,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,5,True,False,False,0,True,4447.419306487009,4968.091416523531,-520.6721100365221,0.18941308801051995,0.14038889911690144,679.3778504608199,1405.0974721079692,0.5685019584764526,0.12679308645011353,2.8627119780146124,09:12,False,REJECT_MACD_GAP_NOT_EXPANDING,1,-2.865574,2.7858815657410507,-2.865573770491803,TIME_WINDOW_STOP_LOSS,21.0,2026-06-02T09:12:00+09:00,2026-06-02T09:33:00+09:00,False,False,False,True,False
20260602,2026-06-02T12:51:00+09:00,2026-06-02T12:45:00+09:00,UP_RED,8,579,578,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,4,True,False,False,2,False,651.5321165549012,441.1539103093555,210.3782062455457,0.028327483328473967,-0.3351722608437438,-346.7911968403496,-82.88656033482403,-0.03423575318173465,-1.0445820526323246,1.3055361867439583,12:51,False,REJECT_LOW_QUALITY_SCORE,1,-1.29179,0.3906904843696325,-1.2917897629680521,TIME_WINDOW_STOP_LOSS,33.0,2026-06-02T12:51:00+09:00,2026-06-02T13:24:00+09:00,False,False,False,True,False
20260602,2026-06-02T13:36:00+09:00,2026-06-02T13:30:00+09:00,UP_RED,10,594,593,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,2,False,False,True,3,False,153.94472823606202,274.62886022377415,-120.68413198771214,0.006722477215548559,-0.3044761257900299,-476.4402920170687,-494.76672356110066,-0.2052525709096269,-1.3792749630577366,0.8394490275859494,13:36,False,REJECT_MACD_GAP_NOT_EXPANDING,1,4.069001,4.069001386962552,-0.5406033287101248,TIME_WINDOW_AFTERNOON_TP,58.0,2026-06-02T13:36:00+09:00,2026-06-02T14:34:00+09:00,False,False,False,True,True
20260602,2026-06-02T13:42:00+09:00,2026-06-02T13:36:00+09:00,DOWN_BLUE,11,596,595,False,REJECT_NOT_CONFIRMED,False,REJECT_NOT_CONFIRMED,False,,,True,,,4,True,False,False,1,True,-103.47043122187188,93.4454262905765,-196.91585751244838,-0.004514416719976958,0.30370969167795925,356.7601465336047,187.32604808500037,0.07764386809812972,1.2832217837819788,0.7526794823876436,13:42,False,REJECT_NOT_CONFIRMED,1,-1.465813,0.0,-1.4658130601792574,TIME_WINDOW_STOP_LOSS,15.0,2026-06-02T13:42:00+09:00,2026-06-02T13:57:00+09:00,False,False,False,True,False
20260602,2026-06-02T13:45:00+09:00,2026-06-02T13:39:00+09:00,UP_RED,12,597,596,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,2,False,False,True,3,False,57.76889421957685,103.47043122187188,-45.70153700229503,0.002523761215359408,-0.30387982873196434,-460.4166113752872,-455.1997577911243,-0.18892082564517296,-1.4079178972011894,0.6730217240233254,13:45,False,REJECT_MACD_GAP_NOT_EXPANDING,1,4.123192,4.123191673894189,-0.08999132697311361,TIME_WINDOW_AFTERNOON_TP,49.0,2026-06-02T13:45:00+09:00,2026-06-02T14:34:00+09:00,False,False,False,True,True
20260605,2026-06-05T11:48:00+09:00,2026-06-05T11:42:00+09:00,DOWN_BLUE,2,810,809,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,3,True,False,False,2,False,1445.082544673769,489.2979112558223,955.7846334179467,0.0668710108594988,-0.04157850083227889,-58.478547065518796,-56.232947380281985,-0.024720638598350327,-1.7083750515853127,0.7792348366356193,11:48,False,REJECT_LOW_QUALITY_SCORE,1,4.093995,4.0939953810623555,-0.522863741339492,TIME_WINDOW_AFTERNOON_TP,64.0,2026-06-05T11:48:00+09:00,2026-06-05T12:52:00+09:00,False,False,False,True,True
20260605,2026-06-05T13:42:00+09:00,2026-06-05T13:36:00+09:00,UP_RED,3,848,847,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,4,True,False,False,2,False,1626.2027176795127,731.682606153372,894.5201115261407,0.0768526804196367,-0.6963899139915672,-493.1985061271116,279.18391367793083,0.12534249432610314,-0.4165829399310633,1.2329364448297622,13:42,False,TW2_3SLOT_REJECT_TEG,1,-0.193032,1.9499072356215212,-0.666955266955267,TIME_WINDOW_BREAKEVEN_STOP,66.0,2026-06-05T13:42:00+09:00,2026-06-05T14:48:00+09:00,False,False,False,True,False
20260608,2026-06-08T10:33:00+09:00,2026-06-08T10:27:00+09:00,DOWN_BLUE,1,917,916,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,3,True,False,False,2,True,806.4078736955144,1178.2467704657267,-371.8388967702124,0.04108038072824831,1.081864505393646,732.7713498640805,-345.69496518024243,-0.16730016144730295,-0.3206612420215715,0.582754212885687,10:33,False,REJECT_MACD_GAP_NOT_EXPANDING,1,-1.433657,0.13398058252427184,-1.4336569579288025,TIME_WINDOW_STOP_LOSS,9.0,2026-06-08T10:33:00+09:00,2026-06-08T10:42:00+09:00,False,False,False,True,False
