date,n,slot1_krw,slot2_krw,slot3_krw,used_krw,unused_krw,pnl_krw
20260527,1,10500000,0,0,10500000,19500000,415898
20260528,2,10500000,8400000,0,18900000,11100000,298783
20260529,2,10500000,10500000,0,21000000,9000000,113922
20260601,2,10500000,10080000,0,20580000,9420000,270788
20260602,3,10500000,12600000,2500000,25600000,4400000,-250966
20260604,3,10500000,12600000,2500000,25600000,4400000,-444093
20260605,1,10500000,0,0,10500000,19500000,-171357
20260608,2,8400000,10500000,0,18900000,11100000,324076
20260609,3,10500000,10500000,9000000,30000000,0,794203
20260610,3,10500000,12600000,6900000,30000000,0,295369
20260611,3,10500000,12600000,6900000,30000000,0,-757934
20260612,1,10500000,0,0,10500000,19500000,449291
20260615,3,10500000,10500000,9000000,30000000,0,498535
20260616,3,10500000,10500000,9000000,30000000,0,735751
20260617,3,8400000,10500000,10000000,28900000,1100000,457537
20260618,3,10500000,10500000,9000000,30000000,0,147744
20260619,3,10500000,10080000,3000000,23580000,6420000,-429811
20260622,3,10500000,12600000,6900000,30000000,0,638694
20260623,2,10500000,10500000,0,21000000,9000000,397207
20260624,3,10500000,10500000,9000000,30000000,0,106419
20260625,2,10500000,10500000,0,21000000,9000000,72276
20260626,1,10500000,0,0,10500000,19500000,854939
20260629,1,10500000,0,0,10500000,19500000,-138350
20260630,1,10500000,0,0,10500000,19500000,850956
20260701,1,10500000,0,0,10500000,19500000,842616
20260702,1,10500000,0,0,10500000,19500000,-139781
20260703,1,10500000,0,0,10500000,19500000,409873
20260706,1,10500000,0,0,10500000,19500000,402462
20260707,0,0,0,0,0,30000000,0
20260708,1,10500000,0,0,10500000,19500000,-140886
20260709,2,10500000,12600000,0,23100000,6900000,611947
20260710,2,10500000,12600000,0,23100000,6900000,572956
20260713,0,0,0,0,0,30000000,0
20260714,1,10500000,0,0,10500000,19500000,404260
20260715,2,10500000,12600000,0,23100000,6900000,-497716
20260716,1,10500000,0,0,10500000,19500000,540228
20260720,3,10500000,12600000,6900000,30000000,0,813185
20260721,2,10500000,10500000,0,21000000,9000000,1052784
20260722,2,8400000,12600000,0,21000000,9000000,423384
20260723,3,10500000,10500000,8000000,29000000,1000000,326904
20260724,0,0,0,0,0,30000000,0
20260727,2,10500000,10500000,0,21000000,9000000,892924
20260728,1,10500000,0,0,10500000,19500000,420122
20260729,0,0,0,0,0,30000000,0
20260730,1,10500000,0,0,10500000,19500000,-146741
20260731,2,10500000,12600000,0,23100000,6900000,342697
20260803,3,10500000,10500000,9000000,30000000,0,-256871
20260804,3,10500000,10080000,9420000,30000000,0,684913
20260805,2,10500000,10500000,0,21000000,9000000,265716
20260806,2,10500000,10500000,0,21000000,9000000,907532
20260807,3,10500000,10080000,3000000,23580000,6420000,-12541
20260810,3,8400000,12600000,9000000,30000000,0,-350279
20260811,3,10500000,10500000,9000000,30000000,0,23031
20260812,1,10500000,0,0,10500000,19500000,-94251
20260813,3,8400000,10080000,11520000,30000000,0,218500
20260814,2,10500000,10500000,0,21000000,9000000,267427
20260818,2,10500000,10500000,0,21000000,9000000,684350
20260819,3,10500000,10500000,9000000,30000000,0,642793
20260820,3,8400000,10500000,10000000,28900000,1100000,539481
20260821,3,10500000,8400000,2500000,21400000,8600000,706053
20260824,2,10500000,12600000,0,23100000,6900000,193705
20260825,3,10500000,8400000,8000000,26900000,3100000,268540
20260826,3,10500000,8400000,2500000,21400000,8600000,-67208
20260827,3,10500000,10500000,9000000,30000000,0,591668
20260828,3,10500000,10080000,3000000,23580000,6420000,-64011
20260831,3,10500000,12600000,3000000,26100000,3900000,-100932
20260903,2,10500000,12600000,0,23100000,6900000,-388294
20260904,2,10500000,10500000,0,21000000,9000000,106110
20260907,2,10500000,10500000,0,21000000,9000000,344422
20260908,3,10500000,10500000,9000000,30000000,0,91098
20260909,1,10500000,0,0,10500000,19500000,609750
20260910,1,10500000,0,0,10500000,19500000,-700
20260911,2,10500000,10500000,0,21000000,9000000,258632
20260914,1,10500000,0,0,10500000,19500000,-189439
20260915,3,10500000,12600000,6900000,30000000,0,14106
20260916,2,10500000,10500000,0,21000000,9000000,195684
20260917,2,10500000,10500000,0,21000000,9000000,-72481
20260918,1,10500000,0,0,10500000,19500000,-55289
