date,entry_time,slot,session,direction,w1a_rules,w1a_extra,w1a_clipped,w1a_applied,strategy_krw,remaining_krw,actual_krw,cut_krw,budget_capped,expo_capped,qty,entry_price,notional_krw,net_pct,pnl_krw,exit_time,exit_reason,day_used_after
20260527,2026-05-27T10:27:00+09:00,1,MORNING,UP_RED,1.0,1.0,1.0,1.0,10000000.0,30000000.0,10000000.0,0.0,False,False,353,28295.0,9988135.0,3.961894,395719.3212769,2026-05-27T11:22:00+09:00,TIME_WINDOW_TP2_FULL,10000000.0
20260528,2026-05-28T09:27:00+09:00,1,MORNING,UP_RED,1.0,1.0,1.0,1.0,10000000.0,30000000.0,10000000.0,0.0,False,False,361,27650.0,9981650.0,3.904571,389740.6112215,2026-05-28T09:42:00+09:00,TIME_WINDOW_TP2_FULL,10000000.0
20260528,2026-05-28T11:06:00+09:00,2,AFTERNOON,UP_RED,0.8,1.0,0.8,0.8,8000000.0,20000000.0,8000000.0,0.0,False,False,280,28495.0,7978600.0,-1.317705,-105134.41113,2026-05-28T11:15:00+09:00,TIME_WINDOW_STOP_LOSS,18000000.0
20260529,2026-05-29T09:42:00+09:00,1,MORNING,DOWN_BLUE,1.0,1.0,1.0,1.0,10000000.0,30000000.0,10000000.0,0.0,False,False,687,14540.0,9988980.0,2.130454,212810.62396919998,2026-05-29T10:06:00+09:00,TIME_WINDOW_AFTER_TP1_STOP,10000000.0
20260529,2026-05-29T13:12:00+09:00,2,AFTERNOON,DOWN_BLUE,1.0,1.0,1.0,1.0,10000000.0,20000000.0,10000000.0,0.0,False,False,659,15160.0,9990440.0,-1.045976,-104497.6046944,2026-05-29T13:36:00+09:00,OPPOSITE_SIGNAL,20000000.0
20260601,2026-06-01T09:21:00+09:00,1,MORNING,DOWN_BLUE,1.0,1.0,1.0,1.0,10000000.0,30000000.0,10000000.0,0.0,False,False,657,15215.0,9996255.0,-1.305291,-130480.21685205,2026-06-01T09:39:00+09:00,TIME_WINDOW_STOP_LOSS,10000000.0
20260601,2026-06-01T09:42:00+09:00,2,MORNING,UP_RED,0.96,1.0,0.96,0.96,9600000.0,20000000.0,9600000.0,0.0,False,False,319,30060.0,9589140.0,4.049834,388344.25202759996,2026-06-01T11:24:00+09:00,PP_EXIT,19600000.0
20260602,2026-06-02T09:39:00+09:00,1,MORNING,UP_RED,1.0,1.0,1.0,1.0,10000000.0,30000000.0,10000000.0,0.0,False,False,327,30545.0,9988215.0,-1.529841,-152803.80823815,2026-06-02T09:45:00+09:00,TIME_WINDOW_STOP_LOSS,10000000.0
20260602,2026-06-02T09:54:00+09:00,2,MORNING,DOWN_BLUE,1.2,1.0,1.2,1.2,12000000.0,20000000.0,12000000.0,0.0,False,False,786,15250.0,11986500.0,-0.745443,-89352.52519500001,2026-06-02T10:21:00+09:00,OPPOSITE_SIGNAL,22000000.0
20260602,2026-06-02T10:21:00+09:00,3,MORNING,UP_RED,0.96,1.0,0.96,0.7999999999999998,9600000.0,8000000.0,8000000.0,1600000.0,True,True,269,29680.0,7983920.0,0.128908,10291.9115936,2026-06-02T10:39:00+09:00,EARLY_TAKE_PROFIT,30000000.0
20260604,2026-06-04T09:39:00+09:00,1,MORNING,UP_RED,1.0,1.0,1.0,1.0,10000000.0,30000000.0,10000000.0,0.0,False,False,339,29485.0,9995415.0,-2.107037,-210607.09235355002,2026-06-04T09:51:00+09:00,TIME_WINDOW_STOP_LOSS,10000000.0
20260604,2026-06-04T09:57:00+09:00,2,MORNING,DOWN_BLUE,1.2,1.0,1.2,1.2,12000000.0,20000000.0,12000000.0,0.0,False,False,766,15665.0,11999390.0,-1.398085,-167761.6716815,2026-06-04T10:12:00+09:00,TIME_WINDOW_STOP_LOSS,22000000.0
