date,slot_number,session,direction,decision_idx,flag_ordinal,entry_time,entry_symbol,entry_price,entry_bar_idx,exit_time,exit_price,exit_reason,net_pct,peak_net_pct,entry_chop,chop_score,tq,lock_fired,hold_bars,w1a,h50_held,ignored_flags,regime_hold,regime_eligible,hold_minutes,mode,mode_reason,h50_hold_at,relax,legs,runner_used,mae_net_pct,tp1_hit,trend_at_entry,e_close,e_ema20,e_ema50,e_slope,ax_mode,ax_at,ax_net,pp_armed,pp_fired,pp_arm_at,pp_arm_idx,pp_flip_at,pp_fire_at,pp_fire_idx,pp_peak,pp_give,peak_at
20260527,1,MORNING,UP_RED,27,1,2026-05-27T10:27:00+09:00,0193T0,28295.0,28,2026-05-27T11:22:00+09:00,29505.0,TIME_WINDOW_TP2_FULL,3.961894,4.184449549390352,False,2,,False,18,1.0,False,0,False,True,55.0,,,,,"[('2026-05-27T11:22:00+09:00', np.float64(29505.0), 0.8, 'TIME_WINDOW_TP2_FULL', 4.1844)]",False,-0.19597101961477295,True,False,,,,,,,,False,False,,,,,,,,2026-05-27T11:22:00+09:00
20260528,1,MORNING,UP_RED,133,1,2026-05-28T09:27:00+09:00,0193T0,27650.0,134,2026-05-28T09:42:00+09:00,28805.0,TIME_WINDOW_TP2_FULL,3.904571,4.085316455696202,False,2,,False,4,1.0,False,0,False,True,15.0,,,,,"[('2026-05-28T09:42:00+09:00', 28805.0, 0.8, 'TIME_WINDOW_TP2_FULL', 4.0853)]",False,-0.7226401446654611,True,False,2242000.0,2236426.285475307,2262322.058550771,-829.4717775820754,,,,False,False,,,,,,,,2026-05-28T09:42:00+09:00
20260528,2,AFTERNOON,UP_RED,166,3,2026-05-28T11:06:00+09:00,0193T0,28495.0,167,2026-05-28T11:15:00+09:00,28145.0,TIME_WINDOW_STOP_LOSS,-1.317705,0.0,True,3,,False,2,0.8,False,0,False,True,9.0,,,,,"[('2026-05-28T11:15:00+09:00', 28145.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.3177)]",False,-1.3177048605018424,False,False,2272000.0,2264274.4997917935,2266117.157661933,240.1160137988627,,,,False,False,,,,,,,,
20260528,3,AFTERNOON,UP_RED,176,5,2026-05-28T11:36:00+09:00,0193T0,28360.0,177,2026-05-28T11:48:00+09:00,27910.0,OPPOSITE_SIGNAL,-1.676023,0.0,True,3,,False,3,0.8,False,0,False,True,12.0,,,,,"[('2026-05-28T11:48:00+09:00', 27910.0, 1.0, 'OPPOSITE_SIGNAL', -1.676)]",False,-1.235472496473907,False,False,2266000.0,2261270.018353261,2263830.967424213,88.53194186883047,,,,False,False,,,,,,,,
20260529,1,MORNING,DOWN_BLUE,264,1,2026-05-29T09:42:00+09:00,0197X0,14540.0,265,2026-05-29T10:06:00+09:00,14815.0,TIME_WINDOW_AFTER_TP1_STOP,2.130454,3.450343878954608,False,2,,False,7,1.0,False,0,False,True,24.0,,,,,"[('2026-05-29T10:06:00+09:00', 14815.0, 0.8, 'TIME_WINDOW_AFTER_TP1_STOP', 1.8005)]",False,-0.8461485557083906,True,False,2353000.0,2331639.0344103486,2286012.278691364,2734.1927064750344,,,,False,False,,,,,,,,2026-05-29T10:03:00+09:00
20260529,2,AFTERNOON,DOWN_BLUE,334,3,2026-05-29T13:12:00+09:00,0197X0,15160.0,335,2026-05-29T13:36:00+09:00,15015.0,OPPOSITE_SIGNAL,-1.045976,0.30567282321899736,False,2,,False,7,1.0,False,0,False,True,24.0,,,,,"[('2026-05-29T13:36:00+09:00', 15015.0, 1.0, 'OPPOSITE_SIGNAL', -1.046)]",False,-0.4196569920844327,False,True,2309000.0,2313926.7567217248,2313947.8844319796,-201.95446661114693,,,,False,False,,,,,,,,2026-05-29T13:25:00+09:00
20260529,3,AFTERNOON,DOWN_BLUE,351,5,2026-05-29T14:03:00+09:00,0197X0,15115.0,352,2026-05-29T15:00:00+09:00,15415.0,FORCED_LIQUIDATION,1.89388,2.0922262652993715,True,3,,False,18,0.8,False,0,False,True,57.0,,,,,"[('2026-05-29T15:00:00+09:00', 15415.0, 1.0, 'FORCED_LIQUIDATION', 1.8939)]",False,-0.28838901753225277,False,False,2316000.0,2316525.937508846,2315391.3820161563,24.84155036136508,,,,False,False,,,,,,,,2026-05-29T14:57:00+09:00
20260601,1,MORNING,DOWN_BLUE,383,1,2026-06-01T09:21:00+09:00,0197X0,15215.0,384,2026-06-01T09:39:00+09:00,15030.0,TIME_WINDOW_STOP_LOSS,-1.305291,0.10706539599079855,False,2,,False,5,1.0,False,0,False,True,18.0,,,,,"[('2026-06-01T09:39:00+09:00', 15030.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.3053)]",False,-1.3052908314163654,False,True,2303000.0,2313058.1249056123,2313060.5068220505,-410.6329315123148,,,,False,False,,,,,,,,2026-06-01T09:30:00+09:00
20260601,2,MORNING,UP_RED,390,2,2026-06-01T09:42:00+09:00,0193T0,30060.0,391,2026-06-01T11:24:00+09:00,31305.0,PP_EXIT,4.049834,5.778942115768464,True,3,,False,33,0.96,False,0,False,True,102.0,,,,,"[('2026-06-01T11:24:00+09:00', 31305.0, 1.0, 'PP_EXIT', 4.0498)]",False,-1.1706919494344645,True,True,2330000.0,2315544.5784924678,2314055.120390857,650.8114126180299,,,,True,True,2026-06-01T11:00:00+09:00,416.0,2026-06-01T11:24:00+09:00,2026-06-01T11:24:00+09:00,424.0,5.7789,1.7291,2026-06-01T11:03:00+09:00
20260602,1,MORNING,UP_RED,515,2,2026-06-02T09:39:00+09:00,0193T0,30545.0,516,2026-06-02T09:45:00+09:00,30105.0,TIME_WINDOW_STOP_LOSS,-1.529841,0.20451792437387462,False,2,,False,1,1.0,False,0,False,True,6.0,,,,,"[('2026-06-02T09:45:00+09:00', 30105.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.5298)]",False,-1.529841217875266,False,False,2362000.0,2350886.339071369,2357573.8113317434,180.66076196962968,,,,False,False,,,,,,,,2026-06-02T09:40:00+09:00
20260602,2,MORNING,DOWN_BLUE,520,3,2026-06-02T09:54:00+09:00,0197X0,15250.0,521,2026-06-02T10:21:00+09:00,15150.0,OPPOSITE_SIGNAL,-0.745443,2.105704918032787,False,2,,False,8,1.2,False,0,False,True,27.0,,,,,"[('2026-06-02T10:21:00+09:00', 15150.0, 1.0, 'OPPOSITE_SIGNAL', -0.7454)]",False,-0.9093114754098359,False,True,2323000.0,2345284.5209480072,2353970.565637856,-1264.1047199126333,,,,False,False,,,,,,,,2026-06-02T09:59:00+09:00
20260602,3,MORNING,UP_RED,529,4,2026-06-02T10:21:00+09:00,0193T0,29680.0,530,2026-06-02T10:39:00+09:00,29745.0,EARLY_TAKE_PROFIT,0.128908,1.661253369272237,True,3,3.0,True,5,0.7999999999999998,False,0,False,True,18.0,,,,,"[('2026-06-02T10:39:00+09:00', 29745.0, 1.0, 'EARLY_TAKE_PROFIT', 0.1289)]",False,-0.9824460916442047,False,False,2325000.0,2326135.804411914,2341179.979728679,-660.40733586438,,,,False,False,,,,,,,,2026-06-02T10:34:00+09:00
20260604,1,MORNING,UP_RED,641,1,2026-06-04T09:39:00+09:00,0193T0,29485.0,642,2026-06-04T09:51:00+09:00,28890.0,TIME_WINDOW_STOP_LOSS,-2.107037,0.0,False,2,,False,3,1.0,False,0,False,True,12.0,,,,,"[('2026-06-04T09:51:00+09:00', 28890.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -2.107)]",False,-2.1070374766830593,False,False,2318000.0,2310365.3227240653,2312907.3829777073,207.86191927734762,,,,False,False,,,,,,,,
20260604,2,MORNING,DOWN_BLUE,647,2,2026-06-04T09:57:00+09:00,0197X0,15665.0,648,2026-06-04T10:12:00+09:00,15460.0,TIME_WINDOW_STOP_LOSS,-1.398085,0.03766358123204597,False,2,,False,4,1.2,False,0,False,True,15.0,,,,,"[('2026-06-04T10:12:00+09:00', 15460.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.3981)]",False,-1.398084902649218,False,True,2287000.0,2305729.6550627835,2310395.529234714,-954.9195606005378,,,,False,False,,,,,,,,2026-06-04T10:04:00+09:00
