date,flag,dec,dir,score,premarket,base_taken,released,rel_at,price,+3m,+6m,+9m,+15m,+30m,+60m,MFE,MAE
20260528,10:24,10:30,B,-1,UP_RED,False,False,,15990.0,-0.3439649781113196,0.7504690431519699,1.657285803627267,1.7823639774859286,0.06253908692933083,-0.15634771732332708,2.5015634771732334,-1.0318949343339587
20260529,09:36,09:42,B,-3,UP_RED,True,False,,14515.0,0.6544953496383052,0.7578367206338271,1.4467791939373063,1.9290389252497417,1.756803306923872,2.3079572855666552,3.720289355838787,-0.2755769893213917
20260602,10:15,10:21,R,-3,DOWN_BLUE,True,False,,29815.0,-1.3080664095254066,-0.18447090390742915,1.106825423444575,-0.23478115042763711,-2.733523394264632,-2.21365084688915,1.3751467382190175,-5.685057856783498
20260605,09:39,09:45,R,-3,DOWN_BLUE,True,False,,24140.0,-1.0977630488815244,-0.2899751449875725,-1.4913007456503728,-2.2783761391880697,-1.9055509527754766,2.8169014084507045,5.695940347970174,-2.8583264291632147
20260608,10:27,10:33,B,-2,UP_RED,False,False,,19985.0,0.5754315736802602,-0.8506379784838629,-2.727045283962972,-2.001501125844383,-3.4525894420815613,-6.47985989492119,1.4010507880910683,-7.080310232674505
20260610,10:09,10:15,R,-2,DOWN_BLUE,True,False,,24270.0,-0.638648537288834,-1.380304903172641,-0.8240626287597858,-2.698805109188298,-2.595797280593325,-5.315203955500618,0.3296250515039143,-6.963329213020189
20260611,09:45,09:51,B,-2,UP_RED,False,False,,14750.0,-1.4576271186440677,-0.23728813559322032,-3.2203389830508473,-6.237288135593221,-4.542372881355932,-3.593220338983051,1.0169491525423728,-8.949152542372882
20260611,10:30,10:36,B,-2,UP_RED,False,False,,13960.0,-1.1103151862464185,0.17908309455587393,-0.10744985673352436,1.8624641833810889,3.8681948424068766,6.017191977077363,10.10028653295129,-1.683381088825215
20260615,09:51,09:57,B,-1,UP_RED,True,False,,11585.0,-0.43159257660768235,0.561070349589987,0.0,1.294777729823047,1.2084592145015105,4.40224428139836,4.574881312041433,-0.5179110919292188
20260616,10:30,10:36,R,-2,DOWN_BLUE,True,False,,28450.0,0.5096660808435852,-0.1054481546572935,0.9666080843585236,0.05272407732864675,0.3163444639718805,0.45694200351493847,1.1072056239015817,-1.0017574692442883
20260617,09:36,09:42,B,-3,UP_RED,True,False,,10865.0,0.0,0.6902899217671422,0.8283479061205707,0.18407731247123793,-1.2885411872986654,-1.4265991716520938,1.2425218591808558,-3.359410952600092
20260617,10:42,10:48,B,-1,UP_RED,False,False,,10735.0,-0.5123428039124359,-0.6054960409874243,-0.6986492780624126,-0.6054960409874243,-0.8849557522123894,-0.4657661853749418,0.3260363297624593,-1.2575687005123428
20260618,09:45,09:51,B,-1,UP_RED,True,False,,8935.0,0.8953553441522105,1.119194180190263,0.5036373810856184,0.783435926133184,0.7274762171236709,0.0,2.6860660324566314,-1.119194180190263
20260619,10:33,10:39,B,-2,UP_RED,False,False,,7110.0,-0.07032348804500703,-0.14064697609001406,0.14064697609001406,1.4767932489451476,1.7580872011251758,0.6329113924050633,4.571026722925457,-0.6329113924050633
20260622,10:33,10:39,B,-2,UP_RED,False,False,,6895.0,1.305293691080493,1.2327773749093547,0.8701957940536621,1.3778100072516315,0.8701957940536621,1.5953589557650472,3.1907179115300943,-0.8701957940536621
20260623,09:48,09:54,R,-3,DOWN_BLUE,False,False,,41935.0,-0.5007750089424109,0.16692500298080362,-1.0253964468820793,0.2980803624657208,-1.5857875283176344,-7.356623345653988,0.8346250149040181,-8.954334088470253
20260623,09:57,10:03,R,-1,DOWN_BLUE,False,False,,41505.0,0.7589447054571739,1.3371882905674015,0.6143838091796169,-0.7589447054571739,-4.577761715455969,-7.661727502710517,1.8792916516082399,-8.324298277315986
20260624,09:54,10:00,B,-2,UP_RED,True,False,,8065.0,0.9299442033477991,2.913825170489771,2.1078735275883447,1.921884686918785,-2.3558586484810915,-0.805951642901426,4.02975821450713,-3.223806571605704
20260625,09:45,09:51,B,-1,UP_RED,True,False,,11860.0,-0.21079258010118043,-0.12647554806070826,-0.2951096121416526,-0.7166947723440135,-1.6863406408094435,-2.993254637436762,0.08431703204047217,-3.0775716694772344
